;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lista de Entes Habilitados/Inabilitados da Complementação da União-VAAT 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;Código IBGE;Veficação  § 4º do art. 13 da  Lei nº 14.113/20;Pendência identificada;;;;;;;;;;;;
PA;Monte Alegre;1504802;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Muaná;1504901;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Nova Esperança do Piriá;1504950;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Nova Ipixuna;1504976;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Nova Timboteua;1505007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Novo Progresso;1505031;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Novo Repartimento;1505064;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Óbidos;1505106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Oeiras do Pará;1505205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Oriximiná;1505304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Ourém;1505403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Ourilândia do Norte;1505437;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Pacajá;1505486;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Palestina do Pará;1505494;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Pará;15;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Paragominas;1505502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Parauapebas;1505536;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Pau D'Arco;1505551;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Peixe-Boi;1505601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Piçarra;1505635;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Placas;1505650;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Ponta de Pedras;1505700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Portel;1505809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Porto de Moz;1505908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Prainha;1506005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Primavera;1506104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Quatipuru;1506112;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Redenção;1506138;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Rio Maria;1506161;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Rondon do Pará;1506187;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Rurópolis;1506195;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Salinópolis;1506203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Salvaterra;1506302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santa Bárbara do Pará;1506351;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santa Cruz do Arari;1506401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santa Izabel do Pará;1506500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santa Luzia do Pará;1506559;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santa Maria das Barreiras;1506583;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santa Maria do Pará;1506609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santana do Araguaia;1506708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santarém;1506807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santarém Novo;1506906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Santo Antônio do Tauá;1507003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Caetano de Odivelas;1507102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Domingos do Araguaia;1507151;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Domingos do Capim;1507201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Félix do Xingu;1507300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Francisco do Pará;1507409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Geraldo do Araguaia;1507458;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São João da Ponta;1507466;Inobservância do art. 163-A da Constituição Federal.;Não enviou a MSC de encerramento de 2024.;;;;;;;;;;;;
PA;São João de Pirabas;1507474;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São João do Araguaia;1507508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Miguel do Guamá;1507607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;São Sebastião da Boa Vista;1507706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Sapucaia;1507755;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Senador José Porfírio;1507805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Soure;1507904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Tailândia;1507953;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Terra Alta;1507961;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Terra Santa;1507979;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Tomé-Açu;1508001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Tracuateua;1508035;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Trairão;1508050;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Tucumã;1508084;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Tucuruí;1508100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Ulianópolis;1508126;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Uruará;1508159;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Vigia;1508209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Viseu;1508308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Vitória do Xingu;1508357;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PA;Xinguara;1508407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Água Branca;2500106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Aguiar;2500205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Alagoa Grande;2500304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Alagoa Nova;2500403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Alagoinha;2500502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Alcantil;2500536;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Algodão de Jandaíra;2500577;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Alhandra;2500601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Amparo;2500734;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Aparecida;2500775;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Araçagi;2500809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Arara;2500908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Araruna;2501005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Areia;2501104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Areia de Baraúnas;2501153;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Areial;2501203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Aroeiras;2501302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Assunção;2501351;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Baía da Traição;2501401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Bananeiras;2501500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Baraúna;2501534;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Barra de Santa Rosa;2501609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Barra de Santana;2501575;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Barra de São Miguel;2501708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Bayeux;2501807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Belém;2501906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Belém do Brejo do Cruz;2502003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Bernardino Batista;2502052;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Boa Ventura;2502102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Boa Vista;2502151;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Bom Jesus;2502201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Bom Sucesso;2502300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Bonito de Santa Fé;2502409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Boqueirão;2502508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Borborema;2502706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Brejo do Cruz;2502805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Brejo dos Santos;2502904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Caaporã;2503001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cabaceiras;2503100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cabedelo;2503209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cachoeira dos Índios;2503308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cacimba de Areia;2503407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cacimba de Dentro;2503506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cacimbas;2503555;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Caiçara;2503605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cajazeiras;2503704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cajazeirinhas;2503753;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Caldas Brandão;2503803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Camalaú;2503902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Campina Grande;2504009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Capim;2504033;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Caraúbas;2504074;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Carrapateira;2504108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Casserengue;2504157;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Catingueira;2504207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Catolé do Rocha;2504306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Caturité;2504355;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Conceição;2504405;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Condado;2504504;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Conde;2504603;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Congo;2504702;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Coremas;2504801;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Coxixola;2504850;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cruz do Espírito Santo;2504900;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cubati;2505006;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cuité;2505105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cuité de Mamanguape;2505238;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Cuitegi;2505204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Curral de Cima;2505279;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Curral Velho;2505303;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Damião;2505352;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Desterro;2505402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Diamante;2505600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Dona Inês;2505709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Duas Estradas;2505808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Emas;2505907;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Esperança;2506004;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Fagundes;2506103;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Frei Martinho;2506202;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Gado Bravo;2506251;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Guarabira;2506301;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Gurinhém;2506400;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Gurjão;2506509;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Ibiara;2506608;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Igaracy;2502607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Imaculada;2506707;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Ingá;2506806;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Itabaiana;2506905;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Itaporanga;2507002;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Itapororoca;2507101;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Itatuba;2507200;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Jacaraú;2507309;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Jericó;2507408;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;João Pessoa;2507507;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Joca Claudino;2513653;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Juarez Távora;2507606;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Juazeirinho;2507705;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Junco do Seridó;2507804;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Juripiranga;2507903;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Juru;2508000;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Lagoa;2508109;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Lagoa de Dentro;2508208;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Lagoa Seca;2508307;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Lastro;2508406;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Livramento;2508505;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Logradouro;2508554;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Lucena;2508604;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mãe d'Água;2508703;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Malta;2508802;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mamanguape;2508901;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Manaíra;2509008;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Marcação;2509057;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mari;2509107;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Marizópolis;2509156;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Massaranduba;2509206;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mataraca;2509305;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Matinhas;2509339;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mato Grosso;2509370;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Maturéia;2509396;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mogeiro;2509404;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Montadas;2509503;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Monte Horebe;2509602;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Monteiro;2509701;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Mulungu;2509800;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Natuba;2509909;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Nazarezinho;2510006;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Nova Floresta;2510105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Nova Olinda;2510204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Nova Palmeira;2510303;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Olho d'Água;2510402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Olivedos;2510501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Ouro Velho;2510600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Paraíba;25;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Parari;2510659;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Passagem;2510709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Patos;2510808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Paulista;2510907;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pedra Branca;2511004;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pedra Lavrada;2511103;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pedras de Fogo;2511202;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pedro Régis;2512721;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Piancó;2511301;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Picuí;2511400;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pilar;2511509;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pilões;2511608;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pilõezinhos;2511707;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pirpirituba;2511806;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pitimbu;2511905;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pocinhos;2512002;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Poço Dantas;2512036;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Poço de José de Moura;2512077;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Pombal;2512101;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Prata;2512200;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Princesa Isabel;2512309;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Puxinanã;2512408;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Queimadas;2512507;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Quixaba;2512606;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Remígio;2512705;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Riachão;2512747;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Riachão do Bacamarte;2512754;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Riachão do Poço;2512762;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Riacho de Santo Antônio;2512788;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Riacho dos Cavalos;2512804;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Rio Tinto;2512903;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Salgadinho;2513000;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Salgado de São Félix;2513109;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Cecília;2513158;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Cruz;2513208;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Helena;2513307;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Inês;2513356;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Luzia;2513406;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Rita;2513703;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santa Teresinha;2513802;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santana de Mangueira;2513505;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santana dos Garrotes;2513604;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Santo André;2513851;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Bentinho;2513927;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Bento;2513901;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Domingos;2513968;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Domingos do Cariri;2513943;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Francisco;2513984;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São João do Cariri;2514008;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São João do Rio do Peixe;2500700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São João do Tigre;2514107;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José da Lagoa Tapada;2514206;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José de Caiana;2514305;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José de Espinharas;2514404;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José de Piranhas;2514503;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José de Princesa;2514552;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José do Bonfim;2514602;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José do Brejo do Cruz;2514651;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José do Sabugi;2514701;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José dos Cordeiros;2514800;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São José dos Ramos;2514453;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Mamede;2514909;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Miguel de Taipu;2515005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Sebastião de Lagoa de Roça;2515104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Sebastião do Umbuzeiro;2515203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;São Vicente do Seridó;2515401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Sapé;2515302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Serra Branca;2515500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Serra da Raiz;2515609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Serra Grande;2515708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Serra Redonda;2515807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Serraria;2515906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Sertãozinho;2515930;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Sobrado;2515971;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Solânea;2516003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Soledade;2516102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Sossêgo;2516151;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Sousa;2516201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Sumé;2516300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Tacima;2516409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Taperoá;2516508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Tavares;2516607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Teixeira;2516706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Tenório;2516755;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Triunfo;2516805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Uiraúna;2516904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Umbuzeiro;2517001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Várzea;2517100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Vieirópolis;2517209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Vista Serrana;2505501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PB;Zabelê;2517407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Abreu e Lima;2600054;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Afogados da Ingazeira;2600104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Afrânio;2600203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Agrestina;2600302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Água Preta;2600401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Águas Belas;2600500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Alagoinha;2600609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
PE;Aliança;2600708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
